institution.displayName,institution.schoolType,institution.aliasNames,institution.state,institution.city,institution.zip,institution.region,institution.isPublic,institution.institutionalControl,institution.primaryPhotoCardThumb,ranking.displayRank,ranking.sortRank,ranking.isTied,searchData.actAvg.rawValue,searchData.percentReceivingAid.rawValue,searchData.acceptanceRate.rawValue,searchData.tuition.rawValue,searchData.hsGpaAvg.rawValue,searchData.engineeringRepScore.rawValue,searchData.parentRank.rawValue,searchData.enrollment.rawValue,searchData.businessRepScore.rawValue,searchData.satAvg.rawValue,searchData.costAfterAid.rawValue,searchData.testAvgs.displayValue.0.value,searchData.testAvgs.displayValue.1.value
Bethel University (IN),regional-universities-midwest,,IN,Mishawaka,46545,midwest,True,private,,#47,47,True,16,,99,33320,3.4,,,1150,,980,,980-1180,16-26
Bethel University (MN),national-universities,,MN,St. Paul,55112,,True,private,,#236,236,True,20,,72,42930,3.6,,,2533,,,,N/A,20-28
Bethel University (TN),regional-universities-south,,TN,McKenzie,38201,south,True,private,,#110,110,True,15,,47,18168,,,,2332,,,,N/A,15-21
Bethune-Cookman University,national-liberal-arts-colleges,Bethune Cookman University,FL,Daytona Beach,32114,,True,private,,#186-204,-1,False,15,,85,14794,3.3,2.0,,2628,,830,,830-980,15-18
Binghamton University--SUNY,national-universities,Binghamton University SUNY Binghamton Binghamton University SUNY,NY,Binghamton,13902,,True,public,,#73,73,True,29,52,42,28203,3.9,2.5,,14402,2.9,1340,36941.0,1340-1510,29-34
Biola University,national-universities,,CA,La Mirada,90639,,True,private,,#236,236,True,23,,58,46704,0,,,3499,,1105,,1105-1365,23-30
Birmingham-Southern College,national-liberal-arts-colleges,Birmingham Southern College,AL,Birmingham,35254,,True,private,,#135,135,True,22,,57,22750,3.7,,,975,,1150,,1150-1280,22-29
Bismarck State College,regional-colleges-midwest,,ND,Bismarck,58506,midwest,True,public,,#39,39,False,16,,91,8790,,,,3771,,,,N/A,16-22
Blackburn College,regional-colleges-midwest,,IL,Carlinville,62626,midwest,True,private,,#35,35,False,16,,66,26758,,,,414,,888,,888-1125,16-24
Black Hills State University,regional-universities-midwest,,SD,Spearfish,57799,midwest,True,public,,#145,145,True,18,,97,11866,,,,3261,< 2.0,990,,990-1140,18-25
Blessing-Rieman College of Nursing and Health Sciences,health,Blessing Rieman College of Nursing,IL,Quincy,62305,,True,private,,Unranked,-2,False,,,,29180,,,,141,,,,N/A,N/A
Bluefield State University,regional-colleges-south,,WV,Bluefield,24701,south,True,public,,#57,57,True,17,,98,17100,3.4,,,1281,,880,,880-1110,17-23
Bluefield University,regional-universities-south,,VA,Bluefield,24605,south,True,private,,#104,104,True,,,72,29420,,,,718,,,,N/A,N/A
Blue Mountain Christian University,regional-colleges-south,,MS,Blue Mountain,38610,south,True,private,,#17,17,True,18,75,96,19280,3.6,,,892,,1000,16432.0,1000-1140,18-25
Bluffton University,regional-colleges-midwest,,OH,Bluffton,45817,midwest,True,private,,#22,22,True,16,84,96,36298,,,,664,,843,23215.0,843-1192,16-24
Bob Jones University,regional-universities-south,,SC,Greenville,29614,south,True,private,,#24,24,True,,68,89,23350,3.4,,,2665,,,20803.0,N/A,N/A
Boise State University,national-universities,,ID,Boise,83725,,True,public,,#332,332,True,20,,84,26976,3.5,2.4,,22962,2.6,950,,950-1200,20-27
Bon Secours Memorial College of Nursing,health,,VA,Richmond,,,True,private,,Unranked,-2,False,,,,15300,,,,427,,,,N/A,N/A
Boricua College,regional-colleges-north,,NY,New York,10032,north,True,private,,#23,23,True,,,,12025,,,,377,,,,N/A,N/A
Boston Architectural College,specialty-arts,,MA,Boston,02115,,True,private,,Unranked,-2,False,,,,22144,,,,290,,,,N/A,N/A
Boston College,national-universities,BC,MA,Chestnut Hill,02467,,True,private,,#39,39,False,33,35,17,67680,,,,9484,3.7,1435,33985.0,1435-1540,33-35
Boston University,national-universities,BU,MA,Boston,02215,,True,private,,#43,43,True,31,42,14,65168,3.9,3.3,,18459,3.5,1350,29731.0,1350-1500,31-34
Bowdoin College,national-liberal-arts-colleges,,ME,Brunswick,04011,,True,private,,#9,9,True,33,48,9,64910,,,,1915,,1460,21380.0,1460-1560,33-35
Bowie State University,regional-universities-north,,MD,Bowie,20715,north,True,public,,#130,130,True,15,,87,19839,3.2,,,5378,,800,,800-1050,15-20
